phrase	band	rank	frequency	band_spoken_general	band_written_general	band_written_academic	example	flag
HAVE GOT	1	988	12734	1	2	0	I don’t know what he has got planned.	
HAVE GOT TO	2	1033	12270	1	1	0	You have got to try this salad.	
SET UP	2	1079	11560	1	1	1	The whole thing was set up beforehand.	
AS TO	2	1082	11535	2	1	1	There was some confusion as to its whereabouts.	
AS WELL	2	1083	11519	1	1	1	I like it as well.	
BASED ON	2	1088	11440	1	1	1	"Based on the reports, it seems it was an accident."	
CARRY OUT	2	1146	10753	2	1	1	It was not as easy to carry out without funding.	
TAKE PLACE	2	1169	10556	1	1	1	No one was sure exactly why it took place there.	
TEND TO	2	1175	10504	1	1	1	I tend to think it’s actually a political matter.	
DUE TO	2	1183	10454	1	1	1	Many people believe it is due to global warming.	
FAIL TO	2	1204	10263	1	1	1	I fail to see the humor in all this.	
EACH OTHER	2	1209	10160	1	1	2	The good thing is that they still have each other.	
IN TERMS OF	2	1234	9881	1	1	1	"What is your limit, in terms of price?"	
NO ONE	2	1262	9597	1	1	2	I will speak to no one about this.	
PICK UP	2	1299	9252	1	1	0	She dropped by to pick up her friend.	
UP TO	2	1352	8733	1	1	1	Up to twenty people may be interviewed for the job.	
A SINGLE	2	1356	8710	1	1	2	Not a single idea emerged from the meeting.	
NO LONGER	2	1371	8556	1	1	1	"Fortunately, it is no longer a concern now."	
LOOK FOR	2	1387	8377	1	1	2	Bargains can be found if you know what to look for.	
LAST NIGHT	2	1427	7992	1	2	0	What did he say last night?	
AS A RESULT	2	1438	7939	2	1	1	He was tired and as a result not very aware.	
IN ADDITION	2	1453	7822	1	1	1	The house was well located in addition.	
IN ADDITION TO	2	1453	7822	1	1	1	The house was well located in addition.	
WORK ON	2	1487	7600	1	1	2	That kid needs to work on his attitude.	
THINK ABOUT	2	1517	7243	1	1	0	I’m thinking about changing careers.	
FOR INSTANCE	2	1529	7138	2	1	1	That holds true for even the governor for instance.	
TOO MUCH	2	1530	7123	1	1	2	I don’t worry about it too much.	
YOU SEE	2	1532	7102	1	0	0	And the problem you see is with awareness-raising.	
IN PARTICULAR	2	1533	7092	2	1	1	There’s nothing in particular wrong with it.	
A COUPLE OF	2	1542	7007	1	1	0	They need a couple of minutes still.	
INSTEAD OF	2	1556	6907	1	1	1	He can go instead of me.	
COME BACK	2	1573	6772	1	1	1	But we can come back to that later.	
LOOK LIKE	2	1591	6595	1	1	0	It’s not what it looks like.	
FIND OUT	2	1605	6499	1	1	1	How did you find out?	
POINT OUT	2	1638	6325	1	1	1	She pointed out that it was getting late.	
APART FROM	2	1647	6287	1	1	1	"Are there any others, apart from him?"	
CALL FOR	2	1657	6243	2	1	1	Hard times call for tough measures.	
MANAGE TO	2	1661	6234	1	1	1	Did you manage to get in touch at all?	
OR TWO	2	1667	6192	1	1	2	"He had a thing or two to drink, then left."	
A FURTHER	2	1681	6121	3	1	1	It’s a further reason to reconsider the project.	
COME OUT	2	1696	6031	1	1	1	It’s supposed to come out on Friday.	
BE EXPECTED TO	2	1713	5964	1	1	1	They can’t be expected to just sit there and wait.	
SEEK TO	2	1716	5937	2	1	1	The new board sought to find alternative solutions.	
GO THROUGH	2	1733	5857	1	1	1	You can’t imagine what I’m going through.	
LONG TERM	2	1740	5831	1	1	1	"It seems to work, but what of the long term effects?"	
RESULT IN	2	1759	5763	2	1	1	Excessive criticism resulted in feelings of animosity.	
THAT IS (REPHRASING)	2	1764	5737	1	1	1	"It’s yours, as long as you pay that is."	
EVEN THOUGH	2	1778	5664	1	1	1	I can’t even though it looks easy enough.	
A RANGE OF	2	1779	5651	1	1	1	"Eventually, a range of events changed that."	
THE LATTER	2	1815	5519	0	1	1	The latter may still be a challenge.	
MAKE SURE	2	1818	5510	1	1	1	I had to make sure before I opened the door.	
TAKE OVER	2	1843	5394	1	1	1	You can’t just let the kids take over.	
CONSIST OF	2	1850	5362	2	1	1	What does it consist of?	
AS SOON AS	2	1861	5323	1	1	1	As soon as he can he will call you back.	
AT THE TIME	2	1873	5282	1	1	1	I was busy at the time.	
ON THE OTHER HAND	2	1877	5267	1	1	1	"On the other hand, the business did make a profit."	
ON ONE'S OWN	2	1886	5240	1	1	2	You did this on your own?	
ALL RIGHT	2	1894	5230	1	1	0	If it’s all right I think I’ll head off to bed.	
SUBJECT TO	2	1900	5218	0	2	1	All baggage is subject to inspection.	
AFTER ALL	2	1904	5197	1	1	2	"He is only six years old, after all."	
IN FRONT OF	2	1908	5190	1	1	1	She did not want to say anything in front of the kids.	
TO DO WITH	2	1910	5184	1	2	1	I think it has something to do with physics.	
GO OUT	2	1912	5173	1	1	3	Brochures went out to prospective buyers.	
A GREAT DEAL	2	1920	5126	1	1	2	She means a great deal to me.	
A GOOD DEAL	2	1920	5126	1	1	2	She means a great deal to me.	
ON THE WAY	2	1929	5085	1	1	2	We can stop for lunch on the way.	
AS LONG AS	2	1931	5084	1	1	2	It makes no difference as long as it’s done.	
SO FAR	2	1951	5018	1	1	1	Any questions so far?	
OUGHT TO	2	1958	5002	1	2	0	She hasn’t but she ought to.	
AT THE MOMENT	2	1959	5001	1	1	1	They have a lot going on at the moment.	
AS THOUGH	2	1967	4988	2	1	1	"He smiled then, as though remembering a joke."	
COME TO	2	1970	4970	1	1	2	We came to see it for what it was.	
ALONG WITH	2	1974	4948	1	1	1	"Along with his dog, the cat slowly stopped eating."	
MAY WELL	2	1982	4931	1	1	1	He hasn’t yet but may well try before long.	
GET OUT	2	2001	4858	1	1	0	There was no way to get out of work that Friday.	
FOLLOWED BY	2	2013	4816	2	1	1	The workshop will be followed by time for questions.	
IN THAT	2	2018	4805	1	1	1	It’s great in that there are so many restaurants.	
IN THE SENSE THAT	2	2018	4805	1	1	1	It’s great in that there are so many restaurants.	
THE CASE	2	2022	4794	1	1	1	It’s not the case that I don’t love him.	
TAKE UP	2	2038	4717	1	1	3	I don’t wish to take up more time than is necessary.	
ACCOUNT FOR	2	2060	4642	2	1	1	They’ll need to account for their actions.	
SET OUT	2	2064	4624	2	1	1	She accomplished what she set out to do.	
AS FAR AS	2	2067	4619	1	1	1	"What are you thinking, as far as feasibility on this?"	
CONCERNED WITH	2	2068	4619	2	1	1	They spoke on issues concerned with culture.	
ABOUT TO	2	2075	4600	1	1	2	Things were about to change.	
SUPPOSED TO	2	2086	4586	1	1	1	"I didn’t go, but I was supposed to."	
AND SO ON	2	2087	4584	1	1	1	"My parents arrived, then John, his wife, and so on."	
COME ON	2	2105	4519	1	2	0	"Come on, think about it!"	
TAKE ON	3	2124	4451	1	1	2	You’d better think twice before taking on more work.	
WORK OUT	3	2131	4432	1	1	1	I’m trying to work out what it stands for.	
ALL OVER	3	2135	4420	1	1	2	The news was all over the web.	
OTHER THAN	3	2149	4380	1	1	1	No one other than you could have come up with it.	
OUT OF	3	2156	4361	2	1	1	"In terms of colour, three out of five were silver."	
TURN OUT	3	2157	4354	1	1	1	How did it turn out?	
LOOK AFTER	3	2164	4332	1	1	0	She did more than just look after the finances.	
AT LAST	3	2173	4306	1	1	2	At last we met over coffee last week.	
A VARIETY OF	3	2179	4283	1	1	1	And a variety of issues seemed to stall the process.	
AT FIRST	3	2180	4275	1	1	1	"Not at first, but just the other day there was one."	
OR SO	3	2216	4164	1	1	1	A day or so later he called me back on my mobile.	
IN FAVOUR	3	2231	4073	1	1	1	I don’t know about you but I’m in favour. 	
GIVE UP	3	2258	3997	1	1	2	You can’t just give up.	
GET TO	3	2263	3979	1	1	2	When he got to the end he started to weep.	
FIND ONESELF	3	2280	3917	1	1	2	I found myself driving home.	
GET UP	3	2298	3857	1	1	0	It was easy getting up but the commute was awful.	
CARRY ON	3	2345	3759	1	1	1	He could simply not carry on.	
GO BACK	3	2361	3722	1	1	1	If I could I’d go back and do it all over again.	
FOCUS ON	3	2371	3703	1	1	1	But today I’d like to focus on something different.	
AT ONCE	3	2379	3684	1	1	1	I did it at once.	
IT TAKES	3	2384	3670	1	1	1	No matter what it takes.	
GET OFF	3	2388	3656	1	1	0	We waited for hours in the queue to get on.	
GET ON	3	2388	3656	1	1	0	We waited for hours in the queue to get on.	
AS A WHOLE	3	2404	3615	1	1	1	As a whole it’s OK.	
IN PRACTICE	3	2407	3609	2	1	1	There was nothing she could do in practice.	
BY THE TIME	3	2408	3607	1	1	2	By the time dinner started there were none left.	
LOTS OF	3	2409	3605	1	1	0	Lots of them do travel during the winter months.	
SAID TO BE	3	2417	3586	0	1	2	The priest was said to be missing.	
IN TIME	3	2425	3566	1	1	1	You will in time.	
IN TURN	3	2429	3558	2	1	1	The supermarket in turn will donate seven thousand.	
ONCE AGAIN	3	2437	3532	1	1	1	"Once again, this was completely unforeseen. "	
ALL THE TIME	3	2439	3527	1	1	2	I go there all the time.	
ON THE BASIS OF	3	2442	3515	2	1	1	She came on the basis that it would help her.	
ON THE BASIS	3	2442	3515	2	1	1	She came on the basis that it would help her.	
KIND OF	3	2445	3510	1	2	0	The windows are kind of fogged up.	
GET INTO	3	2446	3508	1	1	2	I really got into what he was talking about.	
RELY ON	3	2454	3488	1	1	1	He has no one else to rely on.	
GO FOR	3	2483	3421	1	2	0	I could really go for a hamburger right now.	
AIM TO	3	2484	3415	2	1	1	They aim to complete the project by the spring.	
MAKE UP	3	2498	3394	2	1	1	Hispanics make up a large part of the population.	
APPEAL TO	3	2531	3299	1	1	1	It appeals to younger learners.	
END UP	3	2536	3285	1	1	1	We ended up going anyway.	
SHAKE ONE’S HEAD	3	2548	3250	2	1	0	He just shook his head and laughed.	
NO MORE THAN	3	2557	3226	2	1	1	No more than five of them had auto insurance.	
GET BACK	3	2575	3178	1	1	2	What time will we get back?	
WHAT ABOUT	3	2584	3160	1	1	2	But what about tomorrow?	
IN OTHER WORDS	3	2586	3159	1	1	1	The groups are in other words conservative.	
AS FOR	3	2588	3157	1	1	1	"As for the promotion, there may be other options."	
NOT EVEN	3	2599	3128	1	1	1	"No one cared, not even when they saw the photos."	
ENTITLED TO	3	2606	3113	2	1	1	You’re entitled to your opinion.	
PRIOR TO	3	2608	3110	2	1	1	"Prior to the event, the organizers called the band."	
CHOOSE TO	3	2616	3099	1	1	1	You may choose to believe what the papers say.	
SOMETHING LIKE	3	2622	3092	1	2	0	She makes something like five grand a month.	
KNOWN TO	3	2624	3091	0	1	1	He’s known to be like that.	
IN TOUCH	3	2636	3060	1	1	2	Are you two at all in touch?	
IN THE END	3	2637	3050	1	1	1	In the end it’s like what they say about horses.	
IN THE WAY	3	2654	3013	1	1	0	I won’t stand in the way.	
CARE FOR	3	2657	3004	1	1	1	He doesn’t care for it very much in his tea.	
IN THE EVENT	3	2658	2998	0	1	1	"In the event you change your mind, let me know."	
IN THE EVENT OF	3	2658	2998	0	1	1	"In the event you change your mind, let me know."	
THEY SAY	3	2675	2962	1	2	0	They say it tastes like chicken.	
SO CALLED	3	2688	2944	1	1	1	Any so called rumors are as easily their fault.	
TAKE INTO ACCOUNT	3	2702	2921	2	1	1	You must also take into account the rush hour.	
IN RESPECT OF	3	2709	2909	0	1	1	There was nothing in respect of drink.	
OUT OF	3	2711	2907	1	1	1	The walls are made out of wood.	
AT THE SAME TIME	3	2719	2892	1	1	1	At the same time it may be worth it.	
NEXT TO	3	2724	2882	1	1	2	"Next to his sister, he was the best looking of them."	
TURN UP	3	2734	2865	1	2	0	The money turned up later.	
POINT OF VIEW	3	2735	2864	1	1	1	They all had a different point of view.	
AT PRESENT	3	2744	2847	3	1	1	There’s nothing to do at present.	
USED TO 	3	2752	2831	1	1	2	It may take a while to get used to.	
WHETHER OR NOT	3	2759	2824	2	1	1	It depends on whether or not he comes on time.	
IN PLACE	3	2767	2805	2	1	1	There are systems in place to handle that.	
NO DOUBT	3	2776	2791	2	1	2	She can and will no doubt improve over time.	
FULL TIME	3	2785	2761	1	1	2	I’m a full time fan of his music.	
SORT OUT	3	2817	2696	1	1	1	They managed to sort out everything on their own.	
IN A WAY	3	2823	2684	1	1	2	It’s funny in a way.	
OR SOMETHING	3	2826	2683	1	2	0	The sales clerk seemed distracted or something.	
ON BEHALF OF	3	2827	2679	0	2	1	I’d like to apologize on behalf of the committee. 	
OVER THERE	3	2828	2678	1	2	0	He put it way over there.	
IN SPITE OF	3	2829	2676	2	1	1	In spite of all the work there were few alterations.	
THAT'S IT	3	2831	2674	1	3	0	"That’s it for today, I’m afraid."	
IN PART	3	2848	2652	0	1	1	It is in part the reason people come here.	
OH NO	3	2857	2642	1	0	0	Oh no not again.	
IN MIND	3	2859	2638	1	1	1	Do you have anything special in mind?	
WITH REGARD TO	3	2863	2630	2	1	1	There was some confusion with regard to payment.	
REGARD TO	3	2863	2630	2	1	1	There was some confusion with regard to payment.	
ONE ANOTHER	3	2868	2623	2	1	2	They looked at one another for a few minutes.	
AS FOLLOWS	3	2871	2620	0	1	1	The plan is as follows.	
THE ABOVE	3	2879	2608	0	1	1	The above only underscores strength of the data.	
TO DATE	3	2888	2600	2	1	1	To date there have been over nine instances.	
GO INTO	3	2892	2595	1	1	2	I won’t go into what he said.	
TOO MANY	3	2898	2587	1	1	1	"You don’t see too many like that one, I’ll tell you."	
IN THE COURSE OF	3	2899	2585	2	1	1	In the course of the discussion the manager left.	
MORE OR LESS	3	2903	2579	1	1	1	It’s more or less what we imagined I suppose.	
SHORT TERM	3	2906	2574	1	1	1	There are many short term gains to be had.	
AIMED AT	3	2907	2573	2	1	1	The study is aimed at exploring how people use it.	
GO OFF	3	2919	2551	2	1	0	She went off without even saying goodbye.	
IN CASE	3	2926	2536	1	1	1	"In case you’re wondering, this isn’t my natural color."	
OUT THERE	3	2941	2513	1	1	0	There are simply no jobs out there right now.	
LED BY	3	2942	2511	0	1	1	He was led by his competitive drive above all.	
MORE AND MORE	3	2967	2468	1	1	1	More and more it’s about the customer.	
HAVE A LOOK	3	2970	2464	1	2	0	Why don’t you have a look?	
BELIEVE IN	3	2981	2450	1	1	0	I don’t believe in corporal punishment.	
PUT IT	3	2983	2449	1	1	2	"There’s no better way to put it, I think."	
THESE DAYS	3	2992	2440	1	1	2	It’s what these days the media call ‘viral’.	
IN CHARGE	3	2999	2432	1	1	1	He was able to stay in charge while she was away.	
FEEL LIKE	3	3000	2431	1	2	0	I feel like eating out.	
UP TO	3	3016	2409	1	1	1	I walked up to the window and paused.	
HEARD OF	3	3022	2403	1	1	2	Haven’t you ever heard of manners?	
TAKE PART IN	3	3044	2374	2	1	1	It’s something we all wanted to take part in.	
IN SO FAR AS	3	3059	2344	2	1	1	The plan was fine in so far as time and transport.	
PART TIME	3	3061	2343	1	1	2	She can take it on part time.	
LOOK FORWARD TO	3	3067	2331	1	1	0	It’s something we can all look forward to.	
AS SUCH	3	3094	2290	2	1	1	The film was not a horror as such.	
BOUND TO	3	3104	2278	1	1	1	It’s bound to be better next time.	
TURN ON	3	3113	2266	1	1	2	It won’t turn on.	
SET TO	3	3121	2258	1	1	2	He’s set to arrive today.	
MOVE ON	3	3134	2245	1	1	2	I’d like to move on if I may.	
IN CONTRAST TO	3	3149	2229	2	1	1	The inside was amazing in contrast.	
IN CONTRAST	3	3149	2229	2	1	1	The inside was amazing in contrast.	
THIS STAGE	3	3152	2223	1	1	1	We can’t at this stage.	
ALL BUT	3	3157	2214	1	1	3	She all but sent him chocolates and flowers.	
ABOVE ALL	3	3160	2212	1	1	1	It is above all what people care most about.	
RID OF	3	3162	2212	1	1	2	She was happy to be rid of it.	
IN ANY CASE	3	3197	2159	1	1	1	It’s not due till tomorrow in any case.	
THANKS TO	3	3199	2159	1	1	1	And it’s thanks to her research that we know that.	
GO AWAY	3	3205	2150	1	1	2	The problem won’t just go away.	
ONCE MORE	3	3207	2146	1	1	1	I call on you once more my fellow citizens.	
OH WELL	3	3220	2129	1	0	0	It was due yesterday? Oh well.	
FOLLOW UP	3	3222	2128	2	1	1	I’d like to follow up on what that gentleman said.	
WOULD SAY	3	3224	2128	1	1	1	"I don’t know, but I would say at least twenty."	
FOUND TO	3	3235	2104	0	1	1	It was found to be of little use in battle.	
MEANT TO	3	3240	2098	1	1	1	I haven’t seen it but it’s meant to be his best so far.	
HANG ON	4	3263	2074	1	1	0	If you can hang on for just a second.	
TURN INTO	4	3265	2072	1	1	2	The idea turned into something amazing.	
SOMETHING ABOUT	4	3268	2071	1	1	0	There’s something about her I find interesting.	
BY NOW	4	3295	2044	1	1	2	I thought they’d be here by now.	
THINK SO	4	3308	2033	1	2	2	Do you think so?	
GO AHEAD	4	3320	2023	1	1	2	Why don’t you go ahead and call him again?	
BRING ABOUT	4	3322	2022	0	1	1	It was expected that he would bring about change.	
HAD BETTER	4	3323	2022	1	1	2	They had better listen.	
IN ACCORDANCE WITH	4	3327	2017	0	1	1	The plan was execute in accordance with municipal guidelines.	
CALL ON	4	3328	2016	2	1	2	He called on his members of staff for advice.	
AT TIMES	4	3331	2014	1	1	1	It can be slightly frustrating at times.	
ALL THE WAY	4	3340	2007	1	1	1	I’m with you all the way.	
IN EFFECT	4	3349	1995	1	1	1	In effect it was like being in space.	
AFFORD TO	4	3355	1989	1	1	2	It’s something you can’t afford to miss.	
SIGHT OF	4	3357	1988	1	1	1	"I can’t stand the sight of it, to tell you the truth."	
IN ADVANCE	4	3362	1983	1	1	1	It’s something you should do in advance.	
ON THE PART OF	4	3379	1965	2	1	1	There are no barriers on the part of the government.	
BRING UP	4	3387	1958	1	1	1	Did you manage to bring up the holiday pay?	
TAKE OFF	4	3388	1957	1	1	2	I was hungry by the time we took off.	
SO AS TO	4	3390	1954	1	1	1	He cluttered his desk so as to appear busy.	
TAKE ADVANTAGE	4	3396	1949	1	1	1	Some people just want to take advantage.	
SHORT OF	4	3399	1944	2	1	1	"Short of calling the doctor, I don’t know what to do."	
OVER THE YEARS	4	3402	1942	1	1	1	She has over the years visited many cities.	
SWITCH ON	4	3406	1935	1	1	2	It’s plugged in but it won’t switch on.	
BY NO MEANS	4	3417	1925	1	1	1	We have by no means concluded the matter.	
COULD HARDLY	4	3431	1911	1	1	2	I could hardly wait for the weekend.	
COME UP WITH	4	3446	1898	1	1	2	Is that the best you could come up with?	
IN QUESTION	4	3448	1898	0	2	1	The book in question was published last year.	
IN THE FIRST PLACE	4	3450	1897	1	1	1	He couldn’t see how it got there in the first place.	
PROVE TO BE	4	3456	1893	2	1	1	The bicycle proved to be of immense value.	
IN COMMON	4	3457	1890	1	1	1	What they have in common is their stamina.	
NO MATTER	4	3461	1888	1	1	2	"No matter what they say, it’s down to you now."	
AT THIS POINT	4	3465	1884	1	1	1	At this point there’s no telling who might win.	
IN ITSELF	4	3491	1855	1	1	1	The car in itself wasn’t enough incentive. 	
THE FORMER	4	3502	1842	0	1	1	The former can actually require much more money.	
IF ONLY	4	3511	1830	1	1	2	If only I’d known sooner.	
YET TO	4	3525	1818	1	1	1	The package is yet to arrive.	
UP TO ME	4	3534	1807	1	1	1	I’ll leave it up to you if that’s all right.	
UP TO US	4	3534	1807	1	1	1	I’ll leave it up to you if that’s all right.	
UP TO YOU	4	3534	1807	1	1	1	I’ll leave it up to you if that’s all right.	
UP TO HIM	4	3534	1807	1	1	1	I’ll leave it up to you if that’s all right.	
UP TO HER	4	3534	1807	1	1	1	I’ll leave it up to you if that’s all right.	
UP TO THEM	4	3534	1807	1	1	1	I’ll leave it up to you if that’s all right.	
OR WHATEVER	4	3536	1806	1	0	0	The challenge or whatever is doing it under budget.	
HAND OVER	4	3548	1798	1	1	2	The responsibility was expected to be handed over.	
IN THE LIGHT OF	4	3554	1789	2	1	1	"In the light of the results, we delayed the study."	
IN THE SAME WAY	4	3560	1784	1	1	1	"In the same way, Apple appeals to the young."	
THAT MUCH	4	3567	1781	1	2	0	I don’t go out that much.	
THE EXTENT TO WHICH	4	3601	1751	0	2	1	The extent to which the preceding can be asserted is largely dependent on what emerges in the study.	
FOR SOME TIME	4	3632	1725	1	1	1	He’s actually been studying for some time now.	
IN RETURN FOR	4	3640	1720	1	1	1	In return I’d like to present you with this gift.	
IN RETURN	4	3640	1720	1	1	1	In return I’d like to present you with this gift.	
TO DEATH	4	3650	1714	1	1	0	The children were bored to death.	
ON THE GROUNDS	4	3652	1713	1	1	1	The decision was made on the grounds of safety.	
OH DEAR	4	3670	1700	1	0	0	He didn’t? Oh dear.	
IN FULL	4	3672	1698	0	1	1	She paid in full.	
ON BOARD	4	3673	1698	1	1	2	Are you on board with the decision?	
TO SOME EXTENT	4	3686	1688	1	1	1	It is to some extent what is considered standard.	
SOME KIND OF	4	3695	1678	1	1	0	"What are you, some kind of genius?"	
KEEP UP	4	3700	1674	1	1	2	Keep up if you can.	
NO IDEA	4	3709	1670	1	2	0	You have no idea.	
GREATER THAN	4	3712	1666	2	1	1	Anything greater than five is fine.	
HAPPEN TO BE	4	3715	1664	1	1	0	This happens to be my first conference.	
HAPPEN TO	4	3715	1664	1	1	0	This happens to be my first conference.	
HELD THAT	4	3718	1661	0	1	1	The congress held that it was acceptable.	
FACED WITH	4	3722	1658	2	1	2	"Faced with defeat, he changed tactics."	
DOING SO	4	3733	1647	2	1	1	"Unfortunately, doing so also meant facing traffic."	
SET OFF	4	3738	1644	1	1	0	We set off at noon.	
PUT FORWARD	4	3740	1640	2	1	1	The group put forward several other proposals.	
FROM TIME TO TIME	4	3760	1627	1	1	2	He does come round from time to time.	
THE MEANS	4	3791	1626	2	1	1	He hasn’t the means to get there.	
EVER SINCE	4	3762	1622	1	1	2	And they haven’t been the same ever since.	
JUST ABOUT	4	3763	1622	1	2	0	Am I finished? Just about.	
AS OPPOSED TO	4	3771	1615	2	1	1	"Better now, as opposed to what?"	
GIVE RISE TO	4	3774	1613	2	1	1	The protests gave rise to new violence.	
LARGE SCALE	4	3780	1610	2	1	1	They were thinking on a large scale.	
MAKE SENSE	4	3782	1608	1	1	2	Doesn’t it make sense to do it that way?	
BY MEANS OF	4	3789	1602	2	1	1	It was possible to achieve by means of coercion. 	
IN SHORT	4	3790	1602	0	1	1	The employees were in short tired of it.	
A BIT OF A	4	3791	1599	1	2	0	He’s a bit of a film fanatic.	
BREAK UP	4	3796	1595	1	1	0	They did keep in touch after they broke up.	
BUT THEN AGAIN	4	3803	1589	1	1	0	"I went over budget, but then I expected I would."	
BUT THEN	4	3803	1589	1	1	0	"I went over budget, but then I expected I would."	
ALL TOO	4	3830	1571	1	1	0	Why is this all too familiar?	
PUT UP	4	3831	1571	1	1	0	The authorities put up a sign to notify the public.	
GOOD AT	4	3847	1562	1	2	0	You need to find something you’re good at.	
A LONG WAY	4	3851	1557	1	1	2	A little bit of compassion can go a long way.	
AMOUNT TO	4	3854	1556	2	1	1	"Unfortunately, the player never amounted to much."	
FOR LONG	4	3861	1553	1	1	3	"He did attend university, but not for long."	
BE RUN BY	4	3883	1540	1	1	1	The operation is run by two college students.	
BEEN RUN BY	4	3883	1540	1	1	1	The operation is run by two college students.	
IS RUN BY	4	3883	1540	1	1	1	The operation is run by two college students.	
ARE RUN BY	4	3883	1540	1	1	1	The operation is run by two college students.	
WAS RUN BY	4	3883	1540	1	1	1	The operation is run by two college students.	
WERE RUN BY	4	3883	1540	1	1	1	The operation is run by two college students.	
RUN BY	4	3883	1540	1	1	1	The operation is run by two college students.	
SOME MORE	4	3887	1539	1	2	2	I’ll have to think some more before deciding.	
IN THE ABSENCE OF	4	3888	1538	0	1	1	"In the absence of truth, there is only conjecture."	
ALL SORTS OF	4	3895	1535	1	1	2	We have all sorts of time left.	
GET ON WITH	4	3896	1535	1	1	0	I need to get on with my work.	
NO GOOD	4	3902	1528	1	1	0	It’s no good sitting there – you have to type.	
YET ANOTHER	4	3939	1500	1	1	1	That’s yet another day gone by with nothing done.	
KEY TO	4	3940	1499	1	1	1	Her input was key to the project’s success.	
I'M AFRAID	4	3947	1495	1	2	0	"It hasn’t arrived, I’m afraid."	
THAT WHICH	4	3955	1491	0	1	1	You cannot undo that which has already been done.	
IF SO	4	3960	1488	1	1	1	"If so, you may want to consider Greece."	
RIGHT NOW	4	3973	1482	1	1	0	The best time is right now.	
IN VIEW OF	4	3979	1477	0	1	1	She reconsidered in view of her children.	
IN DETAIL	4	3984	1473	1	1	1	I can explain in detail.	
REFLECTED IN	4	3989	1471	1	1	1	The artist’s angst is reflected in her painting.	
NO SUCH	4	3992	1470	1	1	1	He said no such thing.	
NOTHING BUT	4	4004	1466	1	1	2	I have nothing but respect for her.	
IN THE FACE OF	4	4020	1457	2	1	1	They quit in the face of the media scrutiny.	
SUCH THAT	4	4023	1454	2	1	1	It can be developed such that it does not interfere.	
OUT OF	4	4025	1453	1	1	2	Most commuters drive out of pure necessity.	
NEXT DOOR	4	4029	1449	1	1	0	The people next door didn’t seem to mind.	
TO THE POINT	4	4032	1447	1	1	1	It got to the point I couldn’t breathe.  	
MAKE ITS WAY	4	4035	1446	2	1	0	The mouse made its way across the field.	
MAKE ONE’S WAY	4	4035	1446	2	1	0	The mouse made its way across the field.	
IN HAND	4	4037	1443	1	1	0	It was well in hand by then.	
GET TO	4	4052	1437	1	1	0	Did you get to try the cheese?	
BY THE WAY	4	4058	1433	1	1	0	"By the way, what day is the wedding?"	
BY CONTRAST	4	4061	1430	2	1	1	The weather was by contrast a pleasant surprise.	
RUN OUT OF	4	4062	1430	1	1	0	You need to get milk before you run out.	
RUN OUT	4	4062	1430	1	1	0	You need to get milk before you run out.	
IN PRINCIPLE	4	4063	1429	2	1	1	You can in principle.	
ADD TO	4	4071	1424	1	1	1	It does nothing to add to the scenery.	
