#phrase	#Rank	Spoken_Raw freq	Spoken_Freq per million	Written_Raw freq	Written_Freq per million	FTW
gonna talk about	108	89	41	0	0	0.82
how many of you	109	37	17	0	0	0.82
I mean if	110	223	104	0	0	0.81
look at it	111	173	80	5	2	0.81
piece of paper	112	34	16	5	2	0.81
and so forth	113	129	60	35	17	0.8
and you can	114	306	142	6	3	0.79
looking at the	115	180	84	25	12	0.79
we're gonna talk	116	49	23	0	0	0.79
go back to the	117	48	22	9	4	0.79
you know what IÕm	118	52	24	0	0	0.76
that you can	119	292	136	2	1	0.76
we're looking at	120	56	26	0	0	0.76
what I mean	121	219	102	12	6	0.74
do you know what	122	67	31	2	1	0.73
how do you know	123	42	20	4	2	0.73
you don't need to	124	42	20	2	1	0.73
you're looking at	125	68	32	0	0	0.72
turns out that	126	61	28	9	4	0.72
it could be	127	180	84	48	23	0.72
figure out what	128	56	26	2	1	0.72
if you've got	129	69	32	0	0	0.72
I wanted to	130	180	84	6	3	0.71
you could you could	131	33	15	0	0	0.71
might be able	132	44	20	12	6	0.7
trying to figure	133	44	20	2	1	0.7
what you're saying	134	86	40	1	0	0.67
we have to	135	252	117	43	20	0.67
IÕm talking about	136	68	32	0	0	0.67
so you can	137	245	114	1	0	0.66
this kind of	138	205	95	49	23	0.65
don't worry about	139	29	13	0	0	0.65
it's gonna be	140	151	70	0	0	0.64
if you have a	141	96	45	0	0	0.64
wanna talk about	142	45	21	0	0	0.64
so you can see	143	38	18	0	0	0.64
I want you to	144	79	37	0	0	0.63
to look at the	145	59	27	15	7	0.63
to each other	146	98	46	50	24	0.62
the kind of	147	257	119	50	24	0.62
at this point	148	116	54	66	31	0.61
one of these	149	189	88	50	24	0.6
and if you	150	284	132	4	2	0.6
you think about it	151	55	26	0	0	0.59
talk about the	152	160	74	5	2	0.59
it might be	153	138	64	76	36	0.59
for those of you	154	49	23	0	0	0.59
to do with the	155	93	43	39	18	0.59
IÕm not gonna	156	97	45	0	0	0.58
was talking about	157	82	38	1	0	0.58
have to do with	158	42	20	5	2	0.58
tell me what	159	53	25	2	1	0.57
look at this	160	123	57	3	1	0.57
in a sense	161	160	74	32	15	0.56
okay I don't know	162	31	14	0	0	0.56
IÕll talk about	163	31	14	0	0	0.56
you need to do	164	33	15	0	0	0.56
do you want	165	149	69	6	3	0.55
we talk about	166	89	41	1	0	0.54
any questions about	167	31	14	0	0	0.53
come back to	168	79	37	3	1	0.53
you can see the	169	61	28	0	0	0.53
the reason why	170	78	36	16	8	0.52
it in terms of	171	31	14	4	2	0.52
what I want to	172	37	17	6	3	0.52
we looked at	173	48	22	6	3	0.51
if you wanna	174	138	64	0	0	0.51
take a look	175	89	41	3	1	0.5
if you were to	176	47	22	0	0	0.5
IÕll show you	177	45	21	0	0	0.49
talking about the	178	137	64	6	3	0.49
that make sense	179	67	31	2	1	0.49
this is this is	180	84	39	0	0	0.48
how do we	181	126	59	10	5	0.48
we were talking	182	55	26	1	0	0.48
wanna look at	183	41	19	0	0	0.48
you're trying to	184	81	38	0	0	0.47
a look at	185	131	61	10	5	0.47
if you were	186	163	76	7	3	0.47
you're interested in	187	46	21	0	0	0.47
to think about	188	175	81	11	5	0.46
gonna be able	189	38	18	0	0	0.46
by the way	190	141	65	9	4	0.45
we look at	191	93	43	15	7	0.45
I think this is	192	57	26	1	0	0.45
but if you	193	203	94	5	2	0.45
at some point	194	51	24	15	7	0.44
IÕm gonna go	195	51	24	0	0	0.44
thank you very	196	59	27	1	0	0.43
can look at	197	74	34	1	0	0.43
what happens is	198	86	40	0	0	0.43
on the board	199	65	30	6	3	0.42
um let me	200	37	17	0	0	0.42
